"","Date","1W","2W","1M","2M","3M","6M","1Y","2Y"
"71",2017-03-01,9.94602279979115,9.94703544700354,9.90954661780957,9.86099872367581,9.81162325230609,9.70736816151302,9.41500750926925,NA
"72",2017-04-03,9.71347734524569,9.70212635609445,9.66968298144594,9.60549872367581,9.53989597957881,9.39968634333121,9.0894620547238,NA
"73",2017-05-02,9.21997734524569,9.23962635609445,9.22618298144594,9.11199872367581,9.03739597957881,8.87018634333121,8.5164620547238,NA
"74",2017-06-01,8.97195353572188,8.9682692132373,8.91818298144594,8.80885586653296,8.72151502719786,8.57704348618835,8.22212872139047,NA
"75",2017-07-03,8.8662392500076,8.86969778466588,8.86532583858879,8.80742729510438,8.734372170055,8.60132920047406,8.30689062615237,NA
"76",2017-08-01,8.80582517133265,8.83330026913793,8.84079167709811,8.78252046280625,8.70780902305708,8.57070808246164,8.36633161994119,NA
"77",2017-09-01,8.50147734524569,8.49493587990397,8.45437345763641,8.39361777129486,8.35103883672167,8.24847205761692,8.04927157853332,NA
"78",2017-10-02,8.09875007251842,8.09658090154899,8.08863752690048,8.02918054185763,7.97525961594245,7.90600452514939,7.75318932745107,NA
"79",2017-11-01,7.85862020238855,7.86493587990397,7.85104012430308,7.78980824748534,7.73675312243596,7.65704348618835,7.51117634043809,NA
"80",2017-12-01,7.72052496429331,7.71636445133254,7.68151631477927,7.62409396177105,7.58818169386453,7.51513872428359,7.36641443567618,NA
"81",2018-01-09,7.17971263936334,7.20877341491798,7.21171239321064,7.16070460602876,7.11566068546117,7.06771575509591,6.92663852531204,NA
"82",2018-02-01,7.02252997682464,7.0100737245155,6.97028824460383,6.86810398683371,6.79547492694723,6.68944950122594,6.52809363367117,NA
"83",2018-03-01,7.09047734524569,7.07512635609445,7.01218298144594,6.88299872367581,6.78989597957881,6.61218634333121,6.3969620547238,NA
"84",2018-04-02,6.99576305953141,6.99065016561826,6.97723060049356,6.926474914152,6.88770550338834,6.7946625338074,6.63308110234285,NA
"85",2018-05-03,6.97097734524569,6.98012635609445,6.97768298144594,6.95049872367581,6.93089597957881,6.87318634333121,6.7609620547238,NA
"86",2018-06-01,6.97797734524569,6.98612635609445,6.98318298144594,6.96149872367581,6.93739597957881,6.90368634333121,6.8039620547238,NA
"87",2018-07-02,6.98965916342751,6.99930817427627,6.99318298144594,6.97418054185763,6.96798688866972,6.95236816151302,6.88818932745107,NA
"88",2018-08-01,7.02669473655004,7.04677853000749,7.06426993796768,7.06382481063234,7.06911337088316,7.13114286507034,7.17198379385423,NA
"89",2018-09-03,7.18347734524569,7.23012635609445,7.28918298144594,7.32899872367581,7.40339597957881,7.64768634333121,7.9689620547238,NA
"90",2018-10-01,7.31365125828917,7.33373505174662,7.33774819883724,7.35817263671929,7.44911337088316,7.73549069115729,8.18676640254989,NA
"91",2018-11-07,7.29147734524569,7.30818517962386,7.32406533438711,7.38776342955817,7.44154303840234,7.66242163744885,8.13487381942968,NA
"92",2018-12-03,7.43957258334093,7.42826921323731,7.46723060049356,7.5269511046282,7.55675312243596,7.77275777190263,8.18831919758094,NA
"93",2019-01-09,7.57735969818687,7.58053812080033,7.61877121674005,7.62482225308758,7.65860186193175,7.84418634333121,8.11605029001792,NA
"94",2019-02-01,7.54397734524569,7.55712635609445,7.58018298144594,7.60849872367581,7.64589597957881,7.81218634333121,8.0249620547238,NA
"95",2019-03-01,7.51197734524569,7.53262635609445,7.53968298144594,7.53199872367581,7.55789597957881,7.64518634333121,7.7614620547238,NA
"96",2019-04-01,7.5455682543366,7.56021726518536,7.55818298144594,7.54463508731218,7.55025961594245,7.58327725242212,7.6104620547238,NA
"97",2019-05-06,7.53814401191236,7.55445968942778,7.56373853700149,7.53322094589804,7.52722931291215,7.52196412110898,7.55712872139047,NA
"98",2019-06-03,7.4593720820878,7.4621789876734,7.4529198235512,7.42810398683371,7.40547492694723,7.34787055385752,7.28283047577643,NA
"99",2019-07-01,7.29712951915874,7.30069157348575,7.26948732927202,7.21686828889321,7.15433076218751,7.07853416941816,6.99763596776728,NA
"100",2019-08-01,7.05920461797297,7.06385362882172,7.05454661780957,7.00645326913036,6.97798688866972,6.93327725242212,6.83591660017835,NA
"101",2019-09-02,6.82576305953141,6.8287454037135,6.82294488620784,6.78885586653296,6.76484836053119,6.70418634333121,6.63593824519999,NA
"102",2019-10-01,6.66365125828917,6.64851766044227,6.6116612423155,6.55252046280625,6.4956351100136,6.4250559085486,6.31024466341945,NA
"103",2019-11-01,6.29147734524569,6.29762635609445,6.27918298144594,6.19349872367581,6.15889597957881,6.06918634333121,5.9299620547238,NA
"104",2019-12-02,6.14329552706387,6.13294453791263,6.08863752690048,6.07236236003945,6.06298688866972,5.99054997969484,5.8904620547238,NA
"105",2020-01-09,6.01559499230452,6.02583223844739,5.99524180497535,5.93423401779346,5.89389597957881,5.83124516686062,5.74428558413556,NA
"106",2020-02-03,5.84568787156148,5.85481056662076,5.83976192881436,5.76757767104424,5.70547492694723,5.61787055385752,5.52177784419748,NA
"107",2020-03-02,5.80252997682464,5.86375793504182,5.95397245513015,6.03547240788634,6.07600124273671,6.24892318543647,6.28651468630275,NA
