"","Date","1M","2M","3M","4M","5M","6M","7M","8M","9M","10M","11M","1Y","13M","14M","15M","16M","17M","18M","19M","20M","21M","22M","23M","2Y"
"14",2018-04-15,6.82676824982479,6.70657195802252,6.61890713692407,6.49058263776322,6.35634884252076,6.25055818374164,6.17635138372074,6.13614383471683,6.1200118980789,6.12177636234336,6.13303375180625,6.15135842349702,6.17156515298284,6.19260739195029,6.21174615999621,6.22949068324984,6.24485689299879,6.25744388138355,6.2682407593297,6.27677707093264,6.28389090281677,6.28954303492837,6.29373506797382,6.29726160885189
"15",2018-05-15,6.9003033316994,6.82160103061204,6.75428230735093,6.66198433433706,6.57028484215323,6.49371234594094,6.44362004275525,6.41475835628647,6.40393488729608,6.40496111002415,6.41361115127277,6.42613537383537,6.44082256588475,6.45512861420907,6.46900333001508,6.48141808927304,6.49183782994461,6.500947801395,6.50826290644009,6.51443758028059,6.51939771958403,6.52311027622979,6.52625818471331,6.52864485706468
"16",2018-06-15,6.90343681512166,6.85814891811373,6.84900080753443,6.78701526440903,6.68618937193544,6.58365983157349,6.49116942523817,6.41933899185143,6.37268848631708,6.33898384182165,6.32113308087381,6.31442571695781,6.31623037195956,6.32396511051609,6.3354684104214,6.34858164344818,6.36295691966926,6.3768404685723,6.39057921722315,6.40333596998155,6.41420093488206,6.42459426173578,6.43345065347726,6.44141291958085
"17",2018-07-15,6.92353787686794,6.92774291194736,6.96925116631571,6.94301070599078,6.86315167108451,6.75752628997506,6.65126683726639,6.56473884876902,6.48406289805918,6.42225947018446,6.37445849771707,6.34206940007715,6.32077406098816,6.30958686654274,6.30634768326021,6.30895983654348,6.31570733077614,6.32569346824741,6.33763578402184,6.34979478284439,6.36320389590442,6.37611726810642,6.38903911266281,6.40090180380574
"18",2018-08-15,7.05492036666339,7.13987514281014,7.27171365374237,7.31917033996918,7.31154466763933,7.28700097915212,7.26672765866279,7.25096272762192,7.24168270331545,7.23629244999976,7.23351622300864,7.23204287453728,7.2313165653551,7.23097427460413,7.23080458365836,7.23072716759832,7.230689802302,7.23067277642987,7.23066542263292,7.23066179743395,7.23066021930299,7.23065948780145,7.23065917312323,7.23065902879573
"19",2018-09-15,7.4535022656076,7.73182685866738,8.1498267123292,8.52018051658348,8.74211800903843,8.82728481894139,8.83592952035105,8.7972646586414,8.73781069080095,8.67790881137654,8.6222351113956,8.57622681854266,8.54123469607674,8.51385526812168,8.49435406688522,8.47983904465026,8.46962922388629,8.46293574190996,8.45797420972719,8.45470279049113,8.45241865397993,8.45093810078346,8.4499196591173,8.44925076650083
"20",2018-10-15,7.43656177596956,7.8458586805579,8.44546231043175,8.93971112249876,9.21120835072263,9.33999904377649,9.34877911092481,9.29355229784971,9.21510531103494,9.13122839962177,9.05613775760518,8.99602294104738,8.94724794536138,8.91154102757801,8.8843889065901,8.86495144416672,8.85202718009984,8.84233336351187,8.83587525638496,8.83132585336416,8.82835385119886,8.82629541377236,8.82493506295292,8.82406507714817
"21",2018-11-15,7.51953098672046,7.71853808158049,8.05136797065759,8.48305023604456,8.96293168315659,9.33514912239016,9.59482950564296,9.73583898269295,9.79348930612653,9.78931369902553,9.74872542851841,9.68646124789458,9.61823311284826,9.54745450764248,9.48121451857853,9.42563169398264,9.37399729021574,9.33171988507698,9.29546632416617,9.26680930188091,9.24293076645894,9.2239599312153,9.20946015516462,9.19771940719312
"22",2018-12-15,7.6486803993989,7.8317889778615,8.09564074271744,8.5160489282534,8.926838482637,9.26610903326309,9.48735360133035,9.61534637849696,9.66448617451102,9.66027499246154,9.62276934317584,9.56912579711842,9.50654685718466,9.443810825678,9.38879673653852,9.33605281275993,9.29179933543169,9.25311813827524,9.22206331477244,9.19585268132693,9.17479861382981,9.15855662068726,9.14529930447045,9.1352498959739
"23",2019-01-15,7.65641083011809,7.84869375752004,8.23036828874376,8.55478305029041,8.75970142454672,8.84364434458641,8.85175864488776,8.81700573912968,8.76709660524358,8.71358339436687,8.66703999582801,8.62719225543516,8.59600291787288,8.57382208040976,8.55626971465774,8.5440360255158,8.53508739474544,8.52905017449526,8.52475156593463,8.52184020510443,8.51993826008476,8.51862094022761,8.5177731290872,8.51719359857146
"24",2019-02-15,7.66212897996548,7.86118651086438,8.13525084397589,8.37798246025043,8.52283583058499,8.58692138812664,8.59219659031996,8.56693804482802,8.52819843447989,8.4891667431011,8.45287877027626,8.42288153503908,8.40072933768795,8.38269847004787,8.36984380942386,8.36026891770276,8.35371142950179,8.34898339313658,8.34574610277503,8.34361153536868,8.34212114204441,8.34115507716291,8.34049053784042,8.34005407987881
"25",2019-03-15,7.49877285578199,7.69913245517608,7.95951703684302,8.04668446653879,8.02787654477211,7.97824444332789,7.93565574715002,7.90557405270361,7.8880450149059,7.87792349752893,7.87260887670928,7.87004350238783,7.86865923405205,7.86800738805423,7.86768443132881,7.86753716444926,7.86746611336468,7.86743374918668,7.86741945496488,7.86741274452356,7.86740982458827,7.86740847164966,7.86740787734965,7.86740763442373
"26",2019-04-15,7.52364095758742,7.62023213507479,7.67330330324578,7.68249602844555,7.67292236829796,7.66105595306135,7.65149059482916,7.64547458792556,7.64181623105594,7.63981835798832,7.63882473661783,7.63827572386149,7.63801195582249,7.63787908604581,7.63781763488471,7.63778762932083,7.63777381647626,7.6377676600881,7.63776474699066,7.63776347040607,7.63776287519668,7.63776261224155,7.63776250421901,7.63776244951944
